GeneID	cluster#	1hr	3hr	6hr	12hr	24hr
 1436422_at 	1	0	0	-0.3	-0.9	-1.1
 1460551_at 	1	0	-0.1	-0.3	-0.9	-1.1
 1460716_a_at 	1	0	0	-0.2	-1	-1.1
 1415915_at 	1	0	-0.1	-0.3	-1	-0.9
 1416037_a_at 	1	0	-0.1	-0.3	-1.1	-1
 1415728_at 	1	0.2	-0.2	-0.3	-1.1	-1.1
 1429009_at 	1	0.1	-0.3	-0.3	-1	-1.1
 1460650_at 	1	0.2	-0.3	-0.3	-0.9	-1.2
 1416001_a_at 	1	0.1	-0.4	-0.4	-1.1	-1.1
 1448938_at 	1	0.1	-0.3	-0.5	-1.2	-1.2
 1436595_at 	1	0	-0.3	-0.7	-1.1	-1.2
 1460600_at 	1	0	-0.2	-0.5	-1	-1.2
 1428819_at 	1	0	0	-0.2	-1.2	-1.4
 1429233_at 	1	-0.2	-0.1	-0.1	-0.9	-1.3
 1415807_s_at 	1	-0.1	-0.2	-0.7	-0.9	-1
 1428940_at 	1	-0.1	-0.1	-0.7	-0.9	-1.1
 1448013_at 	1	-0.2	-0.2	-0.6	-0.8	-1.2
 1449139_at 	1	-0.1	-0.2	-0.5	-0.8	-1.2
 1428888_at 	1	-0.3	-0.3	-0.8	-0.8	-1.1
 1415903_at 	1	-0.1	0	-0.7	-1.2	-1.3
 1416052_at 	1	0.1	0	-0.7	-1.1	-1.2
 1429062_at 	1	-0.3	-0.1	-0.7	-1.1	-1.1
 1435953_at 	1	-0.2	0	-0.6	-1.1	-1.2
 1429063_s_at 	1	-0.2	0.1	-0.6	-0.9	-1.3
 1436362_x_at 	1	0.4	-0.1	-0.6	-1.2	-1.1
 1415870_at 	1	-0.1	-0.1	-0.3	-0.7	-1
 1428935_at 	1	0	0	-0.3	-0.5	-1
 1447903_x_at 	1	-0.1	-0.1	-0.3	-0.6	-1.3
 1448009_at 	1	-0.3	-0.1	-0.4	-0.5	-1.1
 1436550_at 	1	0.1	-0.2	-0.5	-0.6	-1.1
 1448014_s_at 	1	0	-0.4	-0.4	-0.5	-1.3
 1449072_a_at 	1	0	-0.3	-0.4	-0.6	-1.2
 1448641_at 	1	0.2	0.1	-0.2	-0.4	-1
 1429126_at 	1	-0.1	-0.2	-0.5	-1	-1.6
 1448843_at 	1	0	-0.2	-0.5	-1	-1.6
 1445514_at 	1	0.1	-0.3	-0.3	-0.9	-1.7
 1435959_at 	1	0	0.2	-0.4	-0.9	-1.7
 1436816_at 	1	-0.1	-0.2	-0.7	-0.5	-1.6
 1429264_at 	1	-0.2	-0.6	-0.6	-1	-1.1
 1460359_at 	1	0	-0.6	-0.6	-0.6	-1
 1444537_at 	1	-0.5	-0.6	-0.6	-0.6	-1
 1429435_x_at 	1	-0.1	0.2	-1	-0.8	-1.2
 1445626_at 	1	0.2	-0.4	0	-0.2	-1
 1458969_at 	1	0	-0.8	0	-0.7	-1.2
 1429400_at 	1	-0.2	0.3	0.2	-0.6	-1
 1436405_at 	1	-0.2	-0.1	-0.1	-0.5	-1.8
 1448943_at 	1	-0.1	0.1	0	-0.6	-1.8
 1444426_at 	1	-0.2	-0.5	-0.2	-0.4	-2
 1436602_x_at 	1	0.4	-0.4	-0.4	0	-1.8
 1428976_at 	1	-0.2	-0.1	0.3	0.3	-1.1
 1445870_at 	1	1.2	-0.6	-0.2	-0.3	-1.9
 1415874_at 	1	1.1	0.8	0	-0.1	-1
 1428767_at 	2	0.1	0.2	1.1	1.6	1.4
 1445647_at 	2	0.1	0.2	1	1.5	1.4
 1443948_at 	2	0	0.2	0.9	1.6	1.4
 1415976_a_at 	2	0.1	0.1	1.2	1.8	1.4
