GeneID	1hr	3hr	6hr	12hr	24hr
1415710_at	-0.1	0.2	0.6	1	1
1415725_at	-0.3	-0.2	-0.8	-1.6	-1.5
1415728_at	-0.7	-0.3	-0.6	-1.1	-1.2
1415733_a_at	0.1	-0.2	-0.7	-2	-1.8
1415735_at	-0.1	-0.2	-0.4	-1.3	-1.7
1415768_a_at	-0.5	-0.1	0	0.4	1
1415771_at	0.1	-0.1	-0.4	-1.5	-0.7
1415772_at	0.3	-0.4	-0.9	-2.5	-2.2
1415773_at	0.1	0	-0.3	-1.4	-0.4
1415774_at	-0.3	-0.2	-0.5	-1.4	-1
1415785_a_at	0	0.1	-0.1	-1	-0.7
1415793_at	-0.3	-0.3	-0.7	-1.1	-1.2
1415802_at	-0.3	-0.4	-0.9	-1.4	-2.1
1415807_s_at	0.1	0	-0.5	-1.5	-1.7
1415829_at	-0.1	-0.1	-0.6	-2.8	-3
1415839_a_at	0.1	-0.1	-0.4	-1.4	-0.5
1415841_at	0	0.1	0.5	1.5	1.2
1415851_a_at	0.3	-0.2	-0.6	-1.4	-1.5
1415852_at	0	-0.1	-0.4	-1.6	-1.7
1415860_at	0	-0.1	-0.3	-1.5	-1.6
1415867_at	0.1	-0.1	-0.4	-1.1	-0.9
1415870_at	0.1	-0.1	-0.1	-0.1	-1
1415872_at	0	-0.2	-0.7	-1.9	-1.8
1415874_at	0.3	0.1	-0.1	-0.4	-1.1
1415878_at	0.2	0.1	0	-0.9	-1.5
1415903_at	0.1	0	-0.5	-1	-1
1415915_at	0.2	-0.1	-0.3	-1.7	-1.6
1415917_at	0	-0.3	-0.5	-2.3	-2.6
1415922_s_at	0.2	1.4	1.9	2.6	1.2
1415945_at	-0.1	-0.1	-0.9	-2.2	-2.5
1415975_at	-0.1	0.6	0.9	1.9	1.5
1415976_a_at	-0.1	0.4	1	2.2	2.5
1415985_at	0.3	-0.2	-0.2	-1.6	-1.6
1415993_at	0	-0.3	-0.5	-1.5	-1.7
1416001_a_at	0.1	0	-0.2	-0.7	-1.1
1416014_at	-0.1	-0.2	-0.8	-2.4	-2.6
1416015_s_at	0	-0.2	-0.9	-2.3	-2.7
1416016_at	-0.1	1.4	2.7	3.2	3.2
1416030_a_at	0.1	-0.1	-0.7	-1.6	-1.6
1416034_at	0	-0.1	-0.4	-1.5	-1.2
1416035_at	0	0	0.4	1.9	0.6
1416037_a_at	0.3	0	-0.3	-1.1	-1.1
1416041_at	0.3	0.2	0.6	0.7	1.1
1416052_at	-0.1	-0.1	-0.6	-1.5	-1.6
1416065_a_at	0	-0.2	-0.8	-1.9	-1.1
1416070_a_at	-0.1	-0.1	-0.5	-1.4	-1.1
1416071_at	-0.1	-0.2	-0.9	-2	-1.2
1416073_a_at	0	-0.1	-0.6	-1.6	-1.7
1416100_at	0.1	-0.1	-0.4	-1.3	-0.5
1416101_a_at	0.4	-0.1	-0.8	0.5	1.3
1428706_at	-0.1	-0.1	-0.4	-1.1	-1.4
1428756_at	-0.3	-0.3	-0.5	-1.4	-0.9
1428767_at	0.1	0.3	1	1.6	1.7
1428775_at	0.4	-0.8	-1.8	-3.3	-0.9
1428796_at	-0.1	-0.3	0.6	1.5	-0.4
1428797_at	-0.1	-0.4	-0.5	-1.7	-0.9
1428819_at	0	-0.2	-0.4	-0.8	-2.3
1428820_at	-0.2	-0.2	-0.1	-1	-1.7
1428823_at	-0.2	-0.2	-0.5	-1.3	-1.6
1428838_a_at	0	1.1	2.2	2.2	1.1
1428843_at	0.1	0.7	1.7	2.4	2.2
1428883_at	0.1	-0.2	-0.8	-1.3	-1.4
1428888_at	0	0.1	-0.5	-0.7	-2.3
1428892_at	-0.2	-0.4	-0.6	-1.2	-1.5
1428935_at	-0.4	-0.2	-0.6	-0.8	-1.5
1428940_at	-0.1	-0.3	-0.6	-1.1	-2.3
1428951_at	0	-0.2	-1.4	-1.7	-0.8
1428976_at	0	-0.4	-0.3	-0.4	-2
1429002_at	-0.1	0	0.3	0.8	1.6
1429003_at	0.3	0.3	0.7	1.2	2.1
1429009_at	-0.2	-0.3	-0.4	-1.8	-1.7
1429012_at	0.2	-0.3	-0.5	-1.5	-1.7
1429057_at	-0.2	-0.1	-0.6	-1.1	0
1429062_at	-0.1	-0.2	-0.6	-1.1	-1.5
1429063_s_at	-0.3	-0.2	-0.5	-1.5	-1.6
1429082_at	0	0.2	0.9	0.9	1.1
1429122_a_at	0	-0.7	-1.1	-1.4	-1
1429126_at	0	-0.1	-0.4	-1.4	-2.2
1429169_at	-0.1	-0.8	-0.8	-1.2	-1.9
1429184_at	0	2	3.1	3.3	2.7
1429193_at	0.1	0.1	0.4	1.2	-0.1
1429233_at	-0.2	-0.2	-0.2	-0.6	-1.7
1429234_s_at	-0.1	-0.1	-0.2	-0.8	-2
1429264_at	0.1	-0.3	0	-0.6	-1.3
1429267_at	-0.3	-0.3	-0.6	-1.5	-1.5
1429295_s_at	0.3	1	0.9	0.7	0.2
1429297_at	-0.3	-0.2	-0.8	-2.3	-2.3
1429329_at	-0.4	-0.2	-0.8	-2	-0.8
1429387_at	0.7	0.7	1.5	2.4	2.7
1429400_at	0.1	0.2	0.1	-0.7	-1.4
1429411_a_at	-0.3	0.2	-0.3	-1	-0.3
1429427_s_at	-0.4	-1	-1.4	-2.9	-1.8
1429434_at	-0.5	0.1	-0.7	-0.9	-1.8
1429435_x_at	0.1	0.3	-0.5	-0.1	-1.8
1429456_a_at	-0.1	-0.4	-1.1	-1.7	-0.9
1429466_s_at	0.1	-0.2	0	1.2	2.2
1429508_at	0.1	-0.1	-0.4	-1.5	-1
1429521_at	0.1	-0.1	-0.9	-1.5	-1.2
1429532_at	-0.1	-0.4	-0.8	-1.7	-2.2
1429564_at	0.1	0.6	1.6	2.1	2.1
1435926_at	0	-0.5	-1	-1.6	-2.2
1435927_at	0.1	0.8	1.8	2.3	1.8
1435939_s_at	0.1	0.3	-1	-4	-3
1435953_at	0.3	0	-0.5	-1.7	-2.4
1435959_at	0.2	0.3	0.2	-0.4	-1.8
1436058_at	0.2	7.2	7.9	8.3	7.7
1436070_at	-0.1	-0.8	-1.2	-1.3	-1.6
1436125_at	0	-0.1	-0.9	-1.2	-2.4
1436181_at	-0.1	-0.6	-1.1	-3	-2
1436194_at	0	0	0.1	1	1.3
1436195_at	0.2	0.6	0.6	1.7	2.4
1436247_at	0.2	-0.1	-0.4	-1.3	-1.9
1436291_a_at	0.7	0.7	0.8	1	1.2
1436297_a_at	-0.3	0	0.2	0.8	1.7
1436322_a_at	-0.2	-0.6	-1.1	-1.3	0.5
1436323_at	-0.2	-0.3	-0.7	-1.2	0.5
1436325_at	0	-0.2	-0.2	1.4	1.1
1436336_at	0.1	-0.3	-0.8	-1.1	0.1
1436362_x_at	0.1	-0.1	-0.5	-1.6	-1.1
1436387_at	0.2	0	1.3	0.7	-1.9
1436390_a_at	-0.5	0	-0.5	-1.2	-0.5
1436393_a_at	-0.1	-0.1	-0.4	-1.4	-0.9
1436405_at	-0.2	-0.2	-0.1	-0.3	-2.2
1436420_a_at	-0.1	-0.1	-0.5	-1.6	-1.7
1436422_at	0.1	-0.1	-0.5	-1	-1.8
1436443_a_at	0.2	0	-0.3	-1.5	-2
1436448_a_at	0.1	0.1	0.1	-1.3	-1.8
1436462_at	-0.3	-0.2	-1.2	-1.5	-1.7
1436482_a_at	0	0.3	0.9	1.9	1.4
1436494_x_at	0	-0.1	-1	-2	-0.9
1436507_at	0.1	0.5	0.9	1.3	1.3
1436508_at	-0.1	-0.2	-0.4	-1.1	-2.3
1436543_at	0.4	0	-0.2	-1.5	-0.8
1436550_at	0.3	0	-0.1	0.1	-1.1
1436555_at	0.3	0.4	0.9	1.4	0.3
1436562_at	-0.1	2.3	3.7	4.1	3.6
1436595_at	0.1	-0.2	-0.4	-1.3	-1.5
1436602_x_at	-0.1	-0.3	-0.5	-0.8	-1.8
1436614_at	0.1	-0.4	-1.2	-3.2	-2.7
1436625_at	-0.2	0.4	1.5	1.7	1.1
1436684_a_at	-0.2	-0.2	-0.8	-2.1	-1.2
1436689_a_at	-0.1	-0.1	-0.5	-1	-0.8
1436705_at	-0.1	0	-0.7	-1.7	-2.3
1436706_at	0	-0.1	-0.5	-1.7	-2
1436707_x_at	-0.2	0	-0.1	-1.2	-1
1436708_x_at	-0.1	-0.3	-1	-1.9	-1.8
1436777_at	-0.5	-0.3	-0.5	-5.4	-1.6
1436781_at	-0.5	-1.1	-1.3	-1.6	-0.1
1436808_x_at	0.2	0.1	-0.8	-1.9	-2.4
1436816_at	0.2	-0.1	0	-0.6	-1.2
1443071_at	-0.2	-0.1	-0.7	-1.2	-0.7
1443673_x_at	-0.2	-0.8	-1.6	-1.9	-1.8
1443698_at	0	3	4.4	5.5	5.9
1443750_s_at	-0.1	-0.4	-1.4	-2	-2.2
1443841_x_at	0.4	-0.5	-1.7	-1.9	-1.8
1443858_at	0	0.6	1.6	1.7	1
1443863_at	0.5	0.3	1	1.7	1.1
1443907_at	0	0.3	0.6	1	-0.8
1443948_at	-0.2	0.3	0.5	1.1	1.4
1443969_at	-3	-3.5	-2.2	-4	-2
1444040_at	0.1	-0.1	-0.7	-1.4	-2.2
1444350_at	0.4	1	1.1	1.6	1.9
1444399_at	0	0.2	1.1	1.2	1.6
1444405_at	-1.2	4.2	5.7	7.4	7.6
1444420_at	-0.3	-1.2	-1	-0.2	1.3
1444426_at	0	-0.9	-0.7	-1.3	-2.3
1444524_at	0	0.1	0.6	1.6	2.4
1444531_at	0.1	0.3	-0.2	-1	-3.6
1444537_at	-0.1	-0.3	-0.3	-0.7	-1.2
1444644_x_at	-0.2	-0.2	-0.4	-1.3	0
1444735_at	-0.1	-0.6	-0.3	-1	-2.5
1444951_at	0.1	0.1	0.8	1	0
1445271_at	0.3	1.1	2.2	2	1.7
1445381_at	0	0	0	0.5	1.9
1445514_at	0.2	-0.2	-0.4	-0.3	-1.6
1445522_at	0.6	0.2	-0.3	-1.4	-2.9
1445626_at	-0.1	-0.4	-0.3	-1.1	-1.9
1445647_at	-0.1	0.3	1	1.8	1.1
1445680_x_at	-0.4	0	-0.4	-1.2	-1.8
1445684_s_at	0.1	-0.1	-0.4	-1.5	-0.9
1445687_at	-0.1	0	0.7	1.3	1.3
1445870_at	1	-0.3	0.1	-0.5	-2.1
1445897_s_at	-0.1	1	2.3	2.3	2.6
1446542_at	-0.6	-0.1	-0.9	-1.7	-1.6
1447100_s_at	0.2	0.9	1.6	1.8	0.9
1447109_at	-0.3	-0.8	-0.8	-0.9	-2.3
1447272_s_at	-0.2	0	1.5	1.5	-0.6
1447284_at	0.3	0.1	-0.6	-1.9	-2.6
1447679_s_at	0.2	-0.2	-0.7	-1.7	-1.5
1447780_x_at	0.2	-0.1	-0.5	-1.2	-0.8
1447851_x_at	0	0.1	1.5	1.6	0.1
1447880_x_at	-0.5	0.2	0.6	0.8	1
1447898_s_at	-0.1	-0.1	-0.8	-1.7	-2.5
1447900_x_at	-0.2	-0.3	-1	-1.8	-1.4
1447903_x_at	0	0.1	-0.5	-1.2	-1.1
1447985_s_at	-0.1	-0.1	0.5	1.3	0.2
1448009_at	0.1	-0.1	-0.3	-0.4	-1.2
1448013_at	0.1	-0.1	-0.3	-0.7	-1.1
1448014_s_at	0	-0.3	-0.3	-1	-1.2
1448016_at	0.1	0	1.1	1.9	1.5
1448575_at	0.2	0.1	0.6	1.1	1.1
1448576_at	0	0.2	0.7	1.2	1.3
1448577_x_at	0	0.1	0.3	1.2	1
