GeneID	solution1	solution2
1416101_a_at	1	5
1429466_s_at	1	5
1436194_at	1	5
1436297_a_at	1	5
1436325_at	1	5
1444420_at	1	5
1445381_at	1	5
1448802_at	1	5
1458718_at	1	5
1460439_at	1	5
1460469_at	1	5
1415710_at	2	1
1415768_a_at	2	1
1415841_at	2	1
1415975_at	2	1
1415976_a_at	2	1
1416035_at	2	1
1416041_at	2	1
1428767_at	2	1
1428796_at	2	1
1428838_a_at	2	1
1429002_at	2	1
1429003_at	2	1
1429082_at	2	1
1429193_at	2	1
1429295_s_at	2	1
1436195_at	2	1
1436291_a_at	2	1
1436482_a_at	2	1
1436555_at	2	1
1443863_at	2	1
1443907_at	2	1
1443948_at	2	1
1444350_at	2	1
1444524_at	2	1
1444951_at	2	1
1445647_at	2	1
1445687_at	2	1
1447272_s_at	2	1
1447851_x_at	2	1
1447880_x_at	2	1
1447985_s_at	2	1
1448575_at	2	1
1448576_at	2	1
1448577_x_at	2	1
1448605_at	2	1
1448659_at	2	1
1448661_at	2	1
1448698_at	2	1
1448728_a_at	2	1
1448751_at	2	1
1448987_at	2	1
1449095_at	2	1
1449111_a_at	2	1
1458656_at	2	1
1459981_s_at	2	1
1460188_at	2	1
1460194_at	2	1
1460307_at	2	1
1460316_at	2	1
1460317_s_at	2	1
1460367_at	2	1
1460373_a_at	2	1
1460521_a_at	2	1
1460561_x_at	2	1
1460675_at	2	1
1415773_at	3	3
1415839_a_at	3	3
1415851_a_at	3	3
1415852_at	3	3
1415878_at	3	3
1415945_at	3	3
1416034_at	3	3
1428820_at	3	3
1428823_at	3	3
1429169_at	3	3
1429234_s_at	3	3
1429434_at	3	3
1436070_at	3	3
1436125_at	3	3
1436247_at	3	3
1436420_a_at	3	3
1436448_a_at	3	3
1436508_at	3	3
1436707_x_at	3	3
1436708_x_at	3	3
1444735_at	3	3
1445680_x_at	3	3
1445684_s_at	3	3
1447284_at	3	3
1448627_s_at	3	3
1448635_at	3	3
1448740_at	3	3
1448865_at	3	3
1449044_at	3	3
1449116_a_at	3	3
1458703_at	3	3
1459875_x_at	3	3
1460447_at	3	3
1416014_at	3	8
1416030_a_at	3	8
1436705_at	3	8
1447898_s_at	3	8
1415870_at	4	7
1415874_at	4	7
1428819_at	4	7
1428935_at	4	7
1428976_at	4	7
1429063_s_at	4	7
1429126_at	4	7
1429233_at	4	7
1429400_at	4	7
1435959_at	4	7
1436387_at	4	7
1436405_at	4	7
1436422_at	4	7
1436550_at	4	7
1436602_x_at	4	7
1436816_at	4	7
1444426_at	4	7
1445514_at	4	7
1445626_at	4	7
1445870_at	4	7
1447903_x_at	4	7
1448009_at	4	7
1448014_s_at	4	7
1448641_at	4	7
1448843_at	4	7
1448943_at	4	7
1449072_a_at	4	7
1449139_at	4	7
1458969_at	4	7
1460551_at	4	7
1460650_at	4	7
1460716_a_at	4	7
1415725_at	5	2
1415860_at	5	2
1416073_a_at	5	2
1428951_at	5	2
1429012_at	5	2
1436322_a_at	5	2
1444040_at	5	2
1448666_s_at	5	2
1459529_at	5	2
1460228_at	5	2
1460694_s_at	5	2
1460735_at	5	2
1415772_at	5	8
1415774_at	5	8
1416065_a_at	5	8
1416071_at	5	8
1428756_at	5	8
1428775_at	5	8
1428797_at	5	8
1429122_a_at	5	8
1429521_at	5	8
1435926_at	5	8
1436181_at	5	8
1436494_x_at	5	8
1436684_a_at	5	8
1436781_at	5	8
1443071_at	5	8
1448794_s_at	5	8
1448839_at	5	8
1448882_at	5	8
1459861_s_at	5	8
1460678_at	5	8
1415829_at	6	6
1429297_at	6	6
1436808_x_at	6	6
1444531_at	6	6
1445522_at	6	6
1446542_at	6	6
1415802_at	7	8
1415993_at	7	8
1416015_s_at	7	8
1436706_at	7	8
1443841_x_at	7	8
1448777_at	7	8
1460353_at	7	8
1415917_at	7	10
1429427_s_at	7	10
1435939_s_at	7	10
1436614_at	7	10
1436777_at	7	10
1443673_x_at	7	10
1443750_s_at	7	10
1443969_at	7	10
1448604_at	7	10
1448646_at	7	10
1448991_a_at	7	10
1449061_a_at	7	10
1459680_at	7	10
1460672_at	7	10
1436058_at	8	4
1443698_at	8	4
